input,time,cpu,program
128,0.256,A72,AES
256,0.478,A72,AES
384,0.712,A72,AES
512,0.949,A72,AES
640,1.201,A72,AES
768,1.426,A72,AES
896,1.673,A72,AES
1024,1.921,A72,AES
1152,2.155,A72,AES
1280,2.359,A72,AES
1408,2.648,A72,AES
1536,2.843,A72,AES
1664,3.067,A72,AES
1792,3.331,A72,AES
1920,3.549,A72,AES
2048,3.804,A72,AES
2176,4.018,A72,AES
2304,4.256,A72,AES
2432,4.482,A72,AES
2560,4.746,A72,AES
2688,4.989,A72,AES
2816,5.213,A72,AES
2944,5.425,A72,AES
3072,5.669,A72,AES
3200,5.897,A72,AES
3328,6.133,A72,AES
3456,6.394,A72,AES
3584,6.616,A72,AES
3712,6.834,A72,AES
3840,7.065,A72,AES
3968,7.305,A72,AES
4096,7.533,A72,AES
4224,7.768,A72,AES
4352,8.01,A72,AES
4480,8.259,A72,AES
4608,8.496,A72,AES
4736,8.716,A72,AES
4864,8.97,A72,AES
4992,9.264,A72,AES
5120,9.498,A72,AES
5248,9.716,A72,AES
5376,9.898,A72,AES
5504,10.133,A72,AES
5632,10.365,A72,AES
5760,10.608,A72,AES
5888,10.84,A72,AES
6016,11.073,A72,AES
6144,11.315,A72,AES
6272,11.546,A72,AES
6400,11.786,A72,AES
6528,12.019,A72,AES
6656,12.255,A72,AES
6784,12.493,A72,AES
6912,12.722,A72,AES
7040,13.026,A72,AES
7168,13.252,A72,AES
7296,13.606,A72,AES
7424,13.97,A72,AES
7552,14.192,A72,AES
7680,14.363,A72,AES
7808,14.478,A72,AES
7936,14.71,A72,AES
8064,14.956,A72,AES
8192,15.222,A72,AES
8320,15.429,A72,AES
8448,15.664,A72,AES
8576,15.854,A72,AES
8704,16.11,A72,AES
8832,16.382,A72,AES
8960,16.626,A72,AES
9088,16.764,A72,AES
9216,16.961,A72,AES
9344,17.197,A72,AES
9472,17.47,A72,AES
9600,17.767,A72,AES
9728,17.954,A72,AES
9856,18.273,A72,AES
9984,18.514,A72,AES
10112,18.721,A72,AES
10240,18.842,A72,AES
10368,19.125,A72,AES
10496,19.402,A72,AES
10624,19.639,A72,AES
10752,19.861,A72,AES
10880,20.03,A72,AES
11008,20.278,A72,AES
11136,20.507,A72,AES
11264,20.736,A72,AES
11392,21.003,A72,AES
11520,21.217,A72,AES
11648,21.439,A72,AES
11776,21.698,A72,AES
11904,21.916,A72,AES
12032,22.146,A72,AES
12160,22.411,A72,AES
12288,22.634,A72,AES
12416,22.971,A72,AES
12544,23.148,A72,AES
12672,23.429,A72,AES
12800,23.711,A72,AES
12928,23.92,A72,AES
13056,24.171,A72,AES
13184,24.346,A72,AES
13312,24.487,A72,AES
13440,24.821,A72,AES
13568,24.97,A72,AES
13696,25.201,A72,AES
13824,25.41,A72,AES
13952,25.696,A72,AES
14080,26.014,A72,AES
14208,26.18,A72,AES
14336,26.506,A72,AES
14464,27.133,A72,AES
14592,27.288,A72,AES
14720,27.423,A72,AES
14848,27.439,A72,AES
14976,27.673,A72,AES
15104,27.955,A72,AES
15232,28.187,A72,AES
15360,28.5,A72,AES
15488,28.729,A72,AES
15616,28.872,A72,AES
15744,29.125,A72,AES
15872,29.227,A72,AES
16000,29.558,A72,AES
16128,29.866,A72,AES
16256,29.926,A72,AES
16384,30.121,A72,AES
16512,30.575,A72,AES
16640,30.649,A72,AES
16768,31.032,A72,AES
16896,31.175,A72,AES
17024,31.408,A72,AES
17152,31.806,A72,AES
17280,31.994,A72,AES
17408,32.159,A72,AES
17536,32.391,A72,AES
17664,32.815,A72,AES
17792,32.982,A72,AES
17920,33.153,A72,AES
18048,33.41,A72,AES
18176,33.597,A72,AES
18304,33.816,A72,AES
18432,34.163,A72,AES
18560,34.552,A72,AES
18688,34.67,A72,AES
18816,34.754,A72,AES
18944,34.895,A72,AES
19072,35.195,A72,AES
19200,35.4,A72,AES
19328,35.641,A72,AES
19456,35.808,A72,AES
19584,36.023,A72,AES
19712,36.314,A72,AES
19840,36.495,A72,AES
19968,36.734,A72,AES
20096,38.033,A72,AES
20224,37.52,A72,AES
20352,37.744,A72,AES
20480,37.912,A72,AES
20608,38.23,A72,AES
20736,38.411,A72,AES
20864,38.545,A72,AES
20992,38.866,A72,AES
21120,38.854,A72,AES
21248,39.204,A72,AES
21376,39.288,A72,AES
21504,39.641,A72,AES
21632,40.034,A72,AES
21760,40.225,A72,AES
21888,40.447,A72,AES
22016,40.638,A72,AES
22144,40.764,A72,AES
22272,41.072,A72,AES
22400,41.329,A72,AES
22528,41.488,A72,AES
22656,41.707,A72,AES
22784,41.941,A72,AES
22912,42.437,A72,AES
23040,42.513,A72,AES
23168,42.743,A72,AES
23296,42.86,A72,AES
23424,43.109,A72,AES
23552,43.35,A72,AES
23680,43.792,A72,AES
23808,44.286,A72,AES
23936,44.236,A72,AES
24064,44.412,A72,AES
24192,44.733,A72,AES
24320,45.075,A72,AES
24448,45.148,A72,AES
24576,45.23,A72,AES
24704,45.61,A72,AES
24832,45.734,A72,AES
24960,45.994,A72,AES
25088,46.349,A72,AES
25216,46.512,A72,AES
25344,46.818,A72,AES
25472,46.889,A72,AES
25600,47.31,A72,AES
25728,47.51,A72,AES
25856,47.754,A72,AES
25984,47.8,A72,AES
26112,48.314,A72,AES
26240,48.743,A72,AES
26368,48.667,A72,AES
26496,48.928,A72,AES
26624,49.459,A72,AES
26752,49.276,A72,AES
26880,49.64,A72,AES
27008,49.761,A72,AES
27136,50.169,A72,AES
27264,50.207,A72,AES
27392,50.535,A72,AES
27520,50.693,A72,AES
27648,51.012,A72,AES
27776,51.374,A72,AES
27904,51.493,A72,AES
28032,52.077,A72,AES
28160,52.575,A72,AES
28288,52.384,A72,AES
28416,52.334,A72,AES
28544,52.624,A72,AES
28672,52.84,A72,AES
28800,53.044,A72,AES
28928,53.466,A72,AES
29056,53.478,A72,AES
29184,53.745,A72,AES
29312,54.112,A72,AES
29440,54.45,A72,AES
29568,54.826,A72,AES
29696,54.861,A72,AES
29824,55.066,A72,AES
29952,55.166,A72,AES
30080,55.391,A72,AES
30208,55.672,A72,AES
30336,56.113,A72,AES
30464,56.533,A72,AES
30592,56.502,A72,AES
30720,56.554,A72,AES
30848,56.772,A72,AES
30976,57.143,A72,AES
31104,57.37,A72,AES
31232,57.542,A72,AES
31360,57.816,A72,AES
