size,time,max_error
8,0.0512,0.000977
16,0.0029,0.003906
32,0.0037,0.007812
64,0.0066,0.003906
128,0.0190,0.005859
256,0.0232,0.007812
512,0.0431,0.007812
1024,0.0882,0.009766
2048,0.1882,0.009766
4096,0.3850,0.013672
8192,0.7905,0.013672
16384,1.6864,0.013672
32768,3.7258,0.017578
65536,8.0261,0.017578
131072,22.1179,0.017578
262144,76.2882,0.017578
524288,252.2931,0.017578
1048576,280.2794,0.021484
2097152,723.9419,0.019531
4194304,1571.1820,0.021484
8388608,3335.4720,0.023438
16777216,6816.5467,0.023438
33554432,14049.2732,0.024414
67108864,28613.1059,0.025391
8,0.0541,0.000000
16,0.0025,0.005859
32,0.0039,0.003906
64,0.0067,0.005859
128,0.0159,0.007812
256,0.0239,0.007812
512,0.0440,0.007812
1024,0.0900,0.009766
2048,0.2065,0.009766
4096,0.3829,0.011719
8192,0.8793,0.015625
16384,1.7215,0.011719
32768,3.8011,0.014648
65536,8.8411,0.015625
131072,22.9430,0.017578
262144,59.7953,0.019531
524288,131.4262,0.019531
1048576,273.6451,0.019531
2097152,691.8614,0.023438
4194304,1559.4010,0.023438
8388608,3279.2483,0.025391
16777216,6751.8233,0.023438
33554432,13885.5893,0.025391
67108864,28290.6069,0.027344
8,0.0548,0.000977
16,0.0025,0.001953
32,0.0036,0.003906
64,0.0067,0.005859
128,0.0180,0.005859
256,0.0236,0.007812
512,0.0435,0.007812
1024,0.0869,0.011719
2048,0.1909,0.013672
4096,0.3797,0.011719
8192,0.8413,0.011719
16384,1.7244,0.011719
32768,3.9222,0.015625
65536,10.6535,0.015625
131072,34.2544,0.015625
262144,53.6820,0.017578
524288,133.9815,0.019531
1048576,292.7411,0.021484
2097152,718.8105,0.021484
4194304,1583.4522,0.021484
8388608,3345.8925,0.023438
16777216,6836.5763,0.023438
33554432,14028.5631,0.023438
67108864,28477.2398,0.027344
8,0.0537,0.001953
16,0.0025,0.003906
32,0.0037,0.003906
64,0.0068,0.005859
128,0.0184,0.006836
256,0.0238,0.007812
512,0.0436,0.011719
1024,0.0904,0.009766
2048,0.1971,0.011719
4096,0.4274,0.011719
8192,0.8182,0.013672
16384,1.9011,0.015625
32768,3.8550,0.015625
65536,12.1487,0.015625
131072,31.5752,0.015625
262144,59.0388,0.017578
524288,161.9148,0.019531
1048576,256.1135,0.021484
2097152,629.7979,0.021484
4194304,1505.6663,0.025391
8388608,3215.7669,0.025391
16777216,6686.5962,0.025391
33554432,13798.1461,0.025391
67108864,28599.7778,0.025391
8,0.0557,0.000488
16,0.0026,0.001953
32,0.0037,0.003906
64,0.0066,0.007812
128,0.0151,0.007812
256,0.0235,0.009766
512,0.0436,0.009766
1024,0.0890,0.011719
2048,0.1990,0.011719
4096,0.4025,0.011719
8192,0.8495,0.011719
16384,1.7474,0.013672
32768,3.8254,0.015625
65536,8.1863,0.015625
131072,22.3149,0.017578
262144,53.1390,0.017578
524288,132.3456,0.019531
1048576,254.8885,0.019531
2097152,620.2347,0.019531
4194304,1459.8730,0.023438
8388608,3224.4630,0.023438
16777216,6637.6644,0.023438
33554432,13822.7439,0.025391
67108864,28252.4580,0.025391
8,0.0527,0.000244
16,0.0025,0.001953
32,0.0040,0.003906
64,0.0066,0.003906
128,0.0152,0.007812
256,0.0237,0.007812
512,0.0447,0.007812
1024,0.0899,0.007812
2048,0.1945,0.009766
4096,0.3856,0.011719
8192,0.8281,0.013672
16384,1.7480,0.012695
32768,3.8036,0.015625
65536,8.3504,0.015625
131072,22.0785,0.017578
262144,61.2973,0.017578
524288,161.9944,0.019531
1048576,265.1035,0.019531
2097152,662.1362,0.019531
4194304,1486.0992,0.023438
8388608,3268.9282,0.023438
16777216,6753.8523,0.027344
33554432,13819.4778,0.025391
67108864,28421.2742,0.027344
8,0.0522,0.000000
16,0.0025,0.003906
32,0.0037,0.004883
64,0.0067,0.003906
128,0.0150,0.005859
256,0.0234,0.005859
512,0.0433,0.007812
1024,0.0961,0.007812
2048,0.1880,0.009766
4096,0.3855,0.011719
8192,0.8275,0.013672
16384,1.6743,0.015625
32768,3.8689,0.013672
65536,8.8209,0.015625
131072,24.6430,0.017578
262144,59.2999,0.017578
524288,172.6015,0.019531
1048576,288.7946,0.019531
2097152,709.1113,0.023438
4194304,1589.8114,0.023438
8388608,3326.0501,0.023438
16777216,6785.3393,0.023438
33554432,13925.4245,0.027344
67108864,28397.1178,0.027344
8,0.0509,0.000977
16,0.0026,0.001953
32,0.0038,0.003906
64,0.0069,0.005859
128,0.0159,0.007812
256,0.0233,0.007812
512,0.0432,0.007812
1024,0.0889,0.011719
2048,0.1887,0.009766
4096,0.4304,0.011719
8192,0.7862,0.013672
16384,1.7369,0.013672
32768,3.8098,0.015625
65536,8.7489,0.015625
131072,22.3067,0.015625
262144,69.1224,0.017578
524288,164.0578,0.019531
1048576,256.5703,0.021484
2097152,631.1655,0.021484
4194304,1552.3320,0.021484
8388608,3208.4699,0.023438
16777216,6777.9447,0.023438
33554432,13860.4833,0.027344
67108864,28364.7497,0.027344
8,0.0553,0.000244
16,0.0029,0.002441
32,0.0038,0.003906
64,0.0067,0.005859
128,0.0167,0.006836
256,0.0231,0.007812
512,0.0432,0.009766
1024,0.0915,0.009766
2048,0.2050,0.011719
4096,0.3791,0.011719
8192,0.8741,0.013672
16384,1.7425,0.013672
32768,3.7827,0.015625
65536,8.4601,0.019531
131072,24.0902,0.017578
262144,60.4357,0.019531
524288,142.2316,0.019531
1048576,287.8785,0.019531
2097152,707.6045,0.023438
4194304,1592.8915,0.021484
8388608,3308.2912,0.023438
16777216,6781.4085,0.025391
33554432,13821.8184,0.024414
67108864,28552.7986,0.027344
8,0.0518,0.001953
16,0.0026,0.003906
32,0.0041,0.005859
64,0.0069,0.003906
128,0.0177,0.005859
256,0.0236,0.007812
512,0.0432,0.007812
1024,0.0881,0.013672
2048,0.1902,0.011719
4096,0.4401,0.011719
8192,0.7963,0.011719
16384,1.7452,0.015625
32768,3.7120,0.015625
65536,8.0578,0.017578
131072,22.7707,0.015625
262144,59.5735,0.019531
524288,158.2717,0.019531
1048576,266.6176,0.019531
2097152,656.2918,0.023438
4194304,1495.2957,0.023438
8388608,3257.9539,0.023438
16777216,6728.5649,0.023438
33554432,13904.6193,0.025391
67108864,28437.4497,0.027344
