input,time_complexity,time,cpu,arch,program,cache_on
2,n^3,0.000018,Cortex-R5F,arm32,KF,1
4,n^3,0.000028,Cortex-R5F,arm32,KF,1
8,n^3,0.000028,Cortex-R5F,arm32,KF,1
16,n^3,0.000038,Cortex-R5F,arm32,KF,1
32,n^3,0.000070,Cortex-R5F,arm32,KF,1
64,n^3,0.000139,Cortex-R5F,arm32,KF,1
128,n^3,0.000300,Cortex-R5F,arm32,KF,1
256,n^3,0.000672,Cortex-R5F,arm32,KF,1
512,n^3,0.001512,Cortex-R5F,arm32,KF,1
1024,n^3,0.003617,Cortex-R5F,arm32,KF,1
2048,n^3,0.010558,Cortex-R5F,arm32,KF,1
2,n^3,0.000018,Cortex-R5F,arm32,KF,1
4,n^3,0.000023,Cortex-R5F,arm32,KF,1
8,n^3,0.000028,Cortex-R5F,arm32,KF,1
16,n^3,0.000039,Cortex-R5F,arm32,KF,1
32,n^3,0.000070,Cortex-R5F,arm32,KF,1
64,n^3,0.000141,Cortex-R5F,arm32,KF,1
128,n^3,0.000303,Cortex-R5F,arm32,KF,1
256,n^3,0.000672,Cortex-R5F,arm32,KF,1
512,n^3,0.001511,Cortex-R5F,arm32,KF,1
1024,n^3,0.003628,Cortex-R5F,arm32,KF,1
2048,n^3,0.010561,Cortex-R5F,arm32,KF,1
